"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2024","18,835.24","18,692.54","18,873.24","18,692.54","","0.76%"
"09/25/2024","18,692.54","18,394.24","18,703.15","18,394.24","","1.62%"
"09/24/2024","18,394.24","18,223.89","18,395.41","18,107.31","","0.93%"
"09/23/2024","18,223.89","18,098.18","18,223.89","18,098.18","","0.69%"
"09/20/2024","18,098.18","17,940.35","18,277.91","17,940.35","","0.88%"
"09/19/2024","17,940.35","17,635.45","17,941.71","17,581.95","","1.73%"
"09/18/2024","17,635.45","17,792.60","17,792.60","17,523.39","","-0.88%"
"09/16/2024","17,792.60","17,741.64","17,802.47","17,677.55","","0.29%"
"09/13/2024","17,741.64","17,673.96","17,820.10","17,628.74","","0.38%"
"09/12/2024","17,673.96","17,064.91","17,723.48","17,064.91","","3.57%"
"09/11/2024","17,064.91","17,117.14","17,158.38","17,063.45","","-0.31%"
"09/10/2024","17,117.14","17,094.39","17,263.88","17,044.85","","0.13%"
"09/09/2024","17,094.39","17,409.44","17,409.44","16,957.74","","-1.81%"
"09/06/2024","17,409.44","17,150.50","17,417.36","17,123.92","","1.51%"
"09/05/2024","17,150.50","17,039.14","17,381.98","17,039.14","","0.65%"
"09/04/2024","17,039.14","17,902.48","17,902.48","16,945.12","","-4.82%"
"09/03/2024","17,902.48","18,024.50","18,080.29","17,890.53","","-0.68%"
"09/02/2024","18,024.50","18,000.04","18,169.75","17,952.39","","0.14%"
"08/30/2024","18,000.04","17,986.57","18,096.31","17,973.04","","0.07%"
"08/29/2024","17,986.57","18,203.95","18,203.95","17,822.75","","-1.19%"
"08/28/2024","18,203.95","17,954.16","18,207.17","17,900.48","","1.39%"
"08/27/2024","17,954.16","18,057.52","18,057.52","17,877.49","","-0.57%"